uf20-0102 3431 -1 2 3 4 -5 6 7 -8 9 10 -11 12 13 14 15 16 17 -18 -19 -20 0
uf20-0104 4187 1 2 3 4 5 -6 7 8 9 -10 11 12 13 -14 15 16 17 -18 -19 20 0
uf20-0109 3188 1 -2 3 -4 5 6 7 -8 9 10 11 -12 13 14 15 -16 -17 18 19 -20 0
uf20-0115 3699 1 -2 -3 4 5 -6 -7 -8 9 10 11 12 13 14 15 16 17 18 -19 20 0
uf20-0122 4776 1 2 3 4 5 6 7 -8 9 10 11 12 -13 14 -15 16 17 18 19 -20 0
uf20-0134 4141 1 2 -3 4 5 6 7 8 -9 10 11 12 13 14 -15 16 17 18 -19 -20 0
uf20-014 4499 1 -2 3 4 5 6 -7 8 -9 10 11 12 13 14 15 16 17 18 19 -20 0
uf20-0171 5435 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 -17 18 -19 20 0
uf20-0172 4583 -1 2 3 -4 -5 6 7 8 -9 10 11 12 13 14 15 16 17 18 19 20 0
uf20-0180 4776 1 2 3 4 -5 6 7 8 -9 10 11 12 13 -14 15 16 -17 18 19 -20 0
uf20-0185 4306 1 2 -3 4 5 6 7 -8 9 -10 11 -12 -13 14 15 16 17 18 19 20 0
uf20-0194 4828 1 2 -3 -4 5 6 7 8 9 10 -11 12 13 14 15 16 17 18 -19 20 0
uf20-0204 4074 -1 2 3 4 5 6 7 -8 9 10 11 -12 13 14 15 16 -17 18 19 -20 0
uf20-0210 3037 1 2 -3 4 -5 6 7 8 9 10 -11 12 13 14 15 -16 -17 -18 19 -20 0
uf20-0211 4561 1 2 3 4 5 6 7 8 -9 -10 11 12 13 -14 -15 16 17 18 19 20 0
uf20-0212 4634 1 2 3 4 -5 6 7 8 -9 10 11 12 13 14 15 16 17 18 -19 -20 0
uf20-0233 4513 1 2 3 4 5 -6 7 8 9 -10 11 -12 13 -14 15 16 17 18 19 -20 0
uf20-0254 4697 1 -2 3 4 5 6 7 8 9 -10 11 12 13 14 15 -16 -17 18 19 20 0
uf20-0264 3610 -1 -2 -3 4 5 6 7 8 9 10 -11 -12 13 14 -15 16 -17 18 19 20 0
uf20-0269 4167 1 -2 3 4 5 6 7 8 9 10 -11 12 -13 14 -15 16 17 18 -19 20 0
uf20-0278 3634 -1 -2 3 4 -5 6 7 8 9 -10 11 12 13 -14 15 16 17 18 19 -20 0
uf20-028 3524 1 2 -3 4 5 6 -7 8 9 10 -11 12 13 -14 -15 -16 17 -18 19 20 0
uf20-0302 5448 1 2 3 4 5 6 7 8 9 10 11 12 13 -14 -15 16 17 18 19 20 0
uf20-0303 3761 1 -2 -3 4 5 -6 -7 -8 9 10 11 12 13 14 15 -16 17 18 19 20 0
uf20-030 4970 1 2 3 4 -5 6 7 8 9 -10 -11 -12 13 14 15 16 17 18 19 20 0
uf20-0312 4145 1 2 3 -4 5 6 7 8 9 10 11 -12 13 -14 -15 -16 -17 18 19 20 0
uf20-0316 3201 1 2 3 -4 -5 -6 -7 8 9 10 11 12 13 14 -15 16 17 -18 -19 20 0
uf20-0338 4245 1 2 3 4 5 6 7 -8 9 10 11 12 -13 14 15 -16 17 18 -19 -20 0
uf20-0348 5619 1 2 3 4 5 6 7 8 9 10 -11 12 13 -14 15 16 17 18 19 20 0
uf20-0352 4617 1 2 3 4 5 6 -7 8 9 -10 -11 -12 13 14 15 16 17 18 19 20 0
uf20-0367 4095 1 -2 3 4 -5 -6 7 8 9 10 11 12 13 14 15 16 17 18 -19 -20 0
uf20-0369 4619 -1 2 3 4 -5 -6 7 8 9 10 -11 12 13 14 15 16 17 18 19 20 0
uf20-0384 4509 1 -2 -3 4 5 6 7 8 9 -10 11 -12 13 14 15 16 17 -18 19 20 0
uf20-0398 5497 1 2 3 4 5 6 7 8 9 10 11 12 13 -14 15 -16 17 18 19 20 0
uf20-03 4864 1 2 3 4 5 6 -7 8 9 10 11 -12 13 14 15 -16 17 18 19 20 0
uf20-0400 5098 1 2 3 4 5 6 7 -8 9 10 11 12 13 -14 15 -16 17 18 19 20 0
uf20-0410 5690 1 2 3 4 5 6 7 -8 9 10 11 12 13 14 15 16 17 -18 19 20 0
uf20-0429 5736 1 2 3 4 5 -6 7 8 9 10 11 12 13 14 15 16 -17 18 19 20 0
uf20-0432 4789 1 2 3 4 -5 6 7 8 9 -10 11 12 13 14 15 16 17 18 -19 -20 0
uf20-0434 4784 1 2 3 4 -5 6 7 8 -9 10 11 12 -13 14 15 16 17 18 -19 20 0
uf20-0441 4873 1 2 3 4 5 6 7 8 -9 10 11 12 -13 14 15 16 17 -18 19 20 0
uf20-0442 3607 1 -2 3 -4 5 6 -7 8 9 10 11 12 13 -14 15 16 17 18 19 -20 0
uf20-0460 5014 1 2 3 4 5 6 7 8 -9 10 11 12 13 -14 15 -16 17 18 19 20 0
uf20-0479 4247 1 2 3 -4 -5 6 -7 8 -9 10 11 -12 13 14 15 16 17 18 19 20 0
uf20-0489 5370 1 2 3 4 5 6 7 8 -9 10 11 12 13 14 -15 -16 17 18 19 20 0
uf20-0523 4959 1 2 3 4 5 6 7 -8 -9 10 -11 12 13 14 15 -16 17 18 19 20 0
uf20-052 5642 1 2 3 4 5 6 -7 8 -9 -10 11 12 13 14 15 16 17 18 19 20 0
uf20-0542 5024 1 2 3 -4 5 6 -7 8 9 10 11 12 -13 14 15 16 -17 18 19 20 0
uf20-054 3712 -1 -2 3 -4 5 6 -7 -8 -9 10 11 12 13 14 15 16 17 18 19 20 0
uf20-0562 4296 1 2 -3 4 -5 -6 7 8 -9 10 11 12 13 14 15 16 17 18 19 -20 0
uf20-0563 4636 1 -2 3 4 5 6 -7 8 9 10 -11 12 13 14 15 16 17 18 19 -20 0
uf20-0568 4871 1 -2 3 4 -5 6 -7 8 9 10 11 12 13 14 15 16 17 -18 19 20 0
uf20-0582 5472 1 -2 3 4 5 -6 7 8 9 10 11 12 13 14 15 16 -17 18 19 20 0
uf20-058 4358 1 2 3 -4 5 -6 7 -8 9 10 11 12 13 14 -15 -16 17 18 19 20 0
uf20-0591 4049 -1 2 3 -4 5 6 7 8 -9 10 11 12 -13 14 15 16 17 18 19 -20 0
uf20-0615 4459 1 -2 3 4 -5 6 7 8 -9 10 11 12 13 -14 15 16 17 18 -19 20 0
uf20-0629 5430 1 2 3 4 5 6 7 8 9 10 11 -12 13 14 15 16 -17 -18 19 20 0
uf20-0631 4823 1 2 -3 4 5 -6 7 8 9 10 11 -12 13 14 15 -16 17 18 19 20 0
uf20-0648 4839 1 2 3 4 5 6 -7 8 9 10 11 12 13 14 15 16 17 -18 19 20 0
uf20-0649 4104 -1 2 3 4 5 -6 7 8 -9 10 11 12 -13 -14 15 16 17 18 19 20 0
uf20-0674 4044 1 -2 3 -4 5 6 7 -8 9 10 11 -12 13 14 15 16 17 18 -19 -20 0
uf20-0678 4685 -1 2 3 4 5 6 7 -8 9 10 11 12 13 -14 -15 16 17 18 19 20 0
uf20-0697 5031 1 2 3 -4 5 6 -7 8 9 10 11 12 13 14 15 16 17 18 19 -20 0
uf20-0700 4909 -1 2 3 4 5 6 7 8 9 10 11 12 13 14 -15 16 17 -18 19 20 0
uf20-0701 4285 1 2 3 4 -5 6 7 -8 9 10 11 -12 13 -14 15 16 17 18 19 -20 0
uf20-0704 3722 -1 2 3 -4 5 6 7 -8 9 -10 -11 12 13 14 15 16 17 18 -19 20 0
uf20-0714 4574 -1 2 3 4 5 -6 -7 8 9 10 11 12 13 14 15 16 17 18 19 20 0
uf20-0720 5368 1 2 3 4 5 6 7 8 9 10 11 -12 -13 14 15 16 17 18 19 20 0
uf20-0723 5307 1 -2 3 4 5 6 7 8 9 10 11 12 13 -14 15 16 17 -18 19 20 0
uf20-0725 4853 1 2 -3 4 5 6 7 8 9 10 11 12 13 14 -15 16 17 -18 -19 20 0
uf20-0738 4017 1 2 3 -4 -5 6 7 8 -9 10 11 12 13 -14 15 -16 -17 18 19 20 0
