uf20-0102 65197 -1 2 3 4 -5 6 7 8 -9 -10 11 12 13 14 -15 -16 17 18 19 -20 0
uf20-0104 59010 1 2 3 4 5 -6 7 8 9 -10 11 12 13 -14 15 -16 17 -18 19 -20 0
uf20-0109 71161 -1 -2 3 -4 5 -6 7 8 -9 -10 11 12 13 -14 15 16 -17 18 19 20 0
uf20-0115 59601 1 2 3 4 5 -6 7 -8 9 10 11 -12 -13 14 -15 16 17 18 -19 20 0
uf20-0122 61612 -1 2 3 4 5 6 7 8 9 -10 -11 12 -13 14 15 -16 17 18 19 20 0
uf20-0134 60323 -1 2 3 -4 5 6 -7 8 -9 10 11 12 13 14 -15 16 17 18 -19 20 0
uf20-014 66226 1 2 3 4 5 -6 -7 8 9 10 11 12 13 -14 15 -16 17 18 19 20 0
uf20-0171 68752 1 2 3 4 5 6 7 8 9 10 11 12 13 -14 -15 16 17 18 19 20 0
uf20-0172 58080 -1 2 3 -4 -5 6 7 8 -9 10 11 12 13 14 15 16 17 18 19 20 0
uf20-0180 55960 1 2 3 4 -5 -6 7 8 9 10 11 12 13 -14 15 16 17 -18 -19 20 0
uf20-0185 59053 1 2 3 4 -5 -6 -7 8 9 -10 11 -12 -13 14 15 16 17 18 -19 20 0
uf20-0194 54821 1 2 3 -4 -5 6 7 8 9 10 -11 12 13 14 15 -16 17 18 -19 -20 0
uf20-0204 59410 -1 2 3 4 5 6 7 8 9 10 11 -12 13 14 -15 16 -17 18 19 -20 0
uf20-0210 71827 1 -2 -3 4 5 6 7 8 9 10 11 12 13 14 15 -16 -17 -18 19 -20 0
uf20-0211 59483 1 2 3 4 5 6 7 8 -9 -10 11 12 13 -14 15 16 17 -18 19 20 0
uf20-0212 60163 1 2 3 4 -5 6 7 8 9 10 11 -12 13 14 15 16 17 18 -19 -20 0
uf20-0233 53566 1 2 3 4 5 -6 7 8 9 -10 11 12 -13 -14 15 16 17 18 19 -20 0
uf20-0254 55890 1 -2 3 4 5 6 7 8 9 -10 11 12 13 14 15 -16 -17 18 19 20 0
uf20-0264 64833 1 2 -3 4 -5 6 7 8 9 10 -11 -12 13 14 15 -16 -17 18 -19 20 0
uf20-0269 68273 -1 2 3 4 5 -6 -7 8 9 10 11 -12 13 14 -15 16 17 18 19 20 0
uf20-0278 59868 1 -2 3 4 -5 6 7 8 -9 -10 11 12 13 -14 15 16 17 18 19 -20 0
uf20-028 60082 1 2 3 4 5 6 -7 -8 9 10 -11 12 13 -14 -15 16 17 -18 19 20 0
uf20-0302 59775 1 2 3 4 5 6 7 8 9 10 11 12 13 -14 -15 16 17 18 19 20 0
uf20-0303 59866 -1 2 -3 4 -5 -6 7 8 9 10 11 -12 13 -14 -15 -16 17 18 19 -20 0
uf20-030 55494 1 2 3 4 -5 6 7 8 9 -10 11 12 -13 14 15 -16 17 18 19 -20 0
uf20-0312 52016 1 2 -3 4 5 6 7 8 9 10 -11 12 13 -14 -15 -16 -17 18 19 20 0
uf20-0316 57897 1 2 -3 -4 -5 6 7 -8 9 -10 11 12 13 -14 15 16 17 18 -19 -20 0
uf20-0338 66731 1 -2 3 4 5 -6 7 -8 9 10 11 12 13 14 15 16 -17 18 -19 20 0
uf20-0348 57690 1 2 3 4 5 -6 7 8 9 10 -11 12 13 14 15 16 17 18 19 20 0
uf20-0352 58799 1 2 3 4 5 6 -7 8 9 10 -11 -12 13 14 15 16 -17 18 19 20 0
uf20-0367 62600 -1 -2 3 4 5 6 -7 8 9 10 11 -12 13 14 15 16 17 18 -19 -20 0
uf20-0369 58607 1 2 3 4 -5 -6 7 8 9 10 -11 12 13 14 15 16 17 -18 19 -20 0
uf20-0384 67833 -1 2 3 4 5 6 7 8 9 10 11 -12 13 -14 -15 16 17 18 19 20 0
uf20-0398 58823 1 2 3 4 5 6 7 8 9 10 11 12 13 -14 15 -16 17 18 19 20 0
uf20-03 66257 1 2 3 4 5 6 7 8 9 10 11 -12 -13 14 15 16 17 -18 -19 20 0
uf20-0400 59733 -1 2 3 4 5 6 7 -8 9 10 -11 12 13 14 15 16 17 18 19 20 0
uf20-0410 55165 1 2 3 4 5 6 7 -8 9 10 11 12 13 14 15 16 17 -18 19 20 0
uf20-0429 56725 1 2 3 4 5 6 7 8 9 10 11 -12 13 14 15 16 -17 18 19 20 0
uf20-0432 54167 1 2 3 4 -5 6 7 8 9 -10 11 12 13 14 15 16 17 18 -19 -20 0
uf20-0434 57878 1 2 -3 4 -5 6 7 8 -9 10 11 12 13 14 15 -16 17 18 19 20 0
uf20-0441 62880 1 2 3 4 -5 6 7 -8 9 10 11 12 -13 14 15 16 17 18 19 -20 0
uf20-0442 67512 1 -2 3 -4 5 6 -7 8 9 10 11 12 13 -14 15 16 17 18 19 -20 0
uf20-0460 58936 1 2 3 4 5 6 7 8 -9 10 11 12 13 -14 15 -16 17 18 19 20 0
uf20-0479 58617 1 2 -3 -4 -5 6 7 8 -9 10 11 -12 13 14 15 16 17 18 19 20 0
uf20-0489 56561 1 2 3 4 5 6 7 8 -9 10 11 12 13 14 15 -16 17 -18 19 20 0
uf20-0523 55045 1 2 3 4 -5 6 7 -8 -9 10 11 12 13 14 15 16 -17 18 -19 20 0
uf20-052 50709 1 2 3 4 5 6 -7 8 9 -10 11 -12 13 14 15 16 17 18 19 20 0
uf20-0542 53720 1 2 3 4 5 6 7 8 9 -10 -11 12 -13 14 15 -16 -17 18 19 20 0
uf20-054 63169 -1 -2 3 4 5 -6 7 8 -9 -10 11 12 13 -14 15 16 17 18 19 20 0
uf20-0562 62638 1 -2 3 4 -5 6 7 -8 -9 -10 11 12 13 14 15 16 17 18 -19 20 0
uf20-0563 58910 1 -2 3 4 5 6 -7 8 9 -10 -11 12 13 14 15 16 17 18 19 20 0
uf20-0568 53833 1 2 3 4 -5 6 -7 8 -9 10 -11 12 13 14 15 16 17 -18 19 20 0
uf20-0582 55703 -1 2 3 4 5 -6 7 8 9 10 11 -12 -13 14 15 16 17 18 19 20 0
uf20-058 61400 1 2 3 -4 5 -6 7 -8 9 10 11 12 13 -14 15 -16 17 18 19 20 0
uf20-0591 68525 1 -2 3 -4 -5 6 -7 8 9 10 11 12 13 14 15 16 -17 18 -19 20 0
uf20-0615 60297 1 2 3 -4 5 6 7 8 -9 10 11 -12 -13 -14 -15 16 17 18 19 20 0
uf20-0629 59828 -1 2 3 4 5 -6 7 8 9 10 11 12 -13 -14 15 16 -17 18 19 20 0
